#	Arena
system "Omnis"
		object "Korsmanath A'awoj "
			distance 18525
			offset 88.89
			sprite "ship/korsmanath a-awoj"
		object "Echo-Galleon "
			distance 18525
			offset 90.37
			sprite "ship/echo-galleon"
		object "Arch-Carrack "
			distance 18525
			offset 91.85
			sprite "ship/arch-carrack"
		object "Charm-Shallop "
			distance 18525
			offset 93.33
			sprite "ship/charm-shallop"
		object "Kar Ik Vot 349 "
			distance 18525
			offset 94.81
			sprite "ship/kar ik vot 349"
		object "Tek Far 71 - Lek "
			distance 18525
			offset 96.3
			sprite "ship/tek far 71 lek"
		object "Tek Far 78 - Osk "
			distance 18525
			offset 97.78
			sprite "ship/tek far 78 osk"
		object "Tek Far 109 "
			distance 18525
			offset 99.26
			sprite "ship/tek far 109"
		object "Met Par Tek 53 "
			distance 18525
			offset 100.74
			sprite "ship/met par tek 53"
		object "Far Lek 14 "
			distance 18525
			offset 102.22
			sprite "ship/far lek 14"
		object "Far Osk 27 "
			distance 18525
			offset 103.7
			sprite "ship/far osk 27"
		object "Model 8 "
			distance 18525
			offset 105.19
			sprite "ship/model 8"
		object "Model 16 "
			distance 18525
			offset 106.67
			sprite "ship/model 16"
		object "Model 32 "
			distance 18525
			offset 108.15
			sprite "ship/model 32"
		object "Model 64 "
			distance 18525
			offset 109.63
			sprite "ship/model 64"
		object "Model 128 "
			distance 18525
			offset 111.11
			sprite "ship/model 128"
		object "Model 256 "
			distance 18525
			offset 112.59
			sprite "ship/model 256"
		object "Model 512 "
			distance 18525
			offset 114.07
			sprite "ship/model 512"
		object "Pug Zibruka "
			distance 18525
			offset 115.56
			sprite "ship/pug zibruka"
		object "Pug Enfolta "
			distance 18525
			offset 117.04
			sprite "ship/pug enfolta"
		object "Pug Maboro "
			distance 18525
			offset 118.52
			sprite "ship/pug maboro"
		object "Pug Arfecta "
			distance 18525
			offset 120
			sprite "ship/pug arfecta"
		object "Vyrmeid "
			distance 18525
			offset 121.48
			sprite "ship/vyrmeid/plankton"
		object "Astral Cetacean "
			distance 18525
			offset 122.96
			sprite "ship/astral cetacean/astral"
		object "Emerald Sword "
			distance 18525
			offset 124.44
			sprite "ship/emeraldsword"
		object "Black Diamond "
			distance 18525
			offset 125.93
			sprite "ship/blackdiamond"
		object "Korath Dredger "
			distance 18525
			offset 127.41
			sprite "ship/dredger"
		object "Korath Raider "
			distance 18525
			offset 128.89
			sprite "ship/raider"
		object "Korath Chaser "
			distance 18525
			offset 130.37
			sprite "ship/chaser"
		object "Korath World-Ship "
			distance 18525
			offset 131.85
			sprite "ship/world-ship a"
		object "Kaiken "
			distance 18525
			offset 133.33
			sprite "ship/kaiken"
		object "Sasumata "
			distance 18525
			offset 134.81
			sprite "ship/sasumata"
		object "Tanto "
			distance 18525
			offset 136.3
			sprite "ship/tanto"
		object "Ararebo "
			distance 18525
			offset 137.78
			sprite "ship/ararebo"
		object "Tekkan "
			distance 18525
			offset 139.26
			sprite "ship/tekkan"
		object "Kunai "
			distance 18525
			offset 140.74
			sprite "ship/kunai"
		object "Kama "
			distance 18525
			offset 142.22
			sprite "ship/kama"
		object "Chigiriki "
			distance 18525
			offset 143.7
			sprite "ship/chigiriki"
		object "vyu-Ira "
			distance 18525
			offset 145.19
			sprite "ship/vyuira/vyuira"
		object "Arach Courier "
			distance 18525
			offset 146.67
			sprite "ship/arach courier"
		object "Arach Freighter "
			distance 18525
			offset 148.15
			sprite "ship/arach freighter"
		object "Arach Hulk "
			distance 18525
			offset 149.63
			sprite "ship/arach hulk"
		object "Arach Spindle "
			distance 18525
			offset 151.11
			sprite "ship/arach spindle"
		object "Arach Transport "
			distance 18525
			offset 152.59
			sprite "ship/arach transport"
		object "Heliarch Breacher "
			distance 18525
			offset 154.07
			sprite "ship/heliarch breacher"
		object "Heliarch Hunter "
			distance 18525
			offset 155.56
			sprite "ship/heliarch hunter"
		object "Heliarch Interdictor "
			distance 18525
			offset 157.04
			sprite "ship/heliarch interdictor"
		object "Heliarch Judicator "
			distance 18525
			offset 158.52
			sprite "ship/heliarch judicator"
		object "Heliarch Neutralizer "
			distance 18525
			offset 160
			sprite "ship/heliarch neutralizer"
		object "Heliarch Punisher "
			distance 18525
			offset 161.48
			sprite "ship/heliarch punisher"
		object "Heliarch Pursuer "
			distance 18525
			offset 162.96
			sprite "ship/heliarch pursuer"
		object "Heliarch Rover "
			distance 18525
			offset 164.44
			sprite "ship/heliarch rover"
		object "Heliarch Stalker "
			distance 18525
			offset 165.93
			sprite "ship/heliarch stalker"
		object "Kimek Briar "
			distance 18525
			offset 167.41
			sprite "ship/kimek briar"
		object "Kimek Spire "
			distance 18525
			offset 168.89
			sprite "ship/kimek spire"
		object "Kimek Thistle "
			distance 18525
			offset 170.37
			sprite "ship/kimek thistle"
		object "Kimek Thorn "
			distance 18525
			offset 171.85
			sprite "ship/kimek thorn"
		object "Saryd Runabout "
			distance 18525
			offset 173.33
			sprite "ship/saryd runabout"
		object "Saryd Sojourner "
			distance 18525
			offset 174.81
			sprite "ship/saryd sojourner"
		object "Saryd Traveler "
			distance 18525
			offset 176.3
			sprite "ship/saryd traveler"
		object "Saryd Visitor "
			distance 18525
			offset 177.78
			sprite "ship/saryd visitor"
		object "Jje "
			distance 18525
			offset 179.26
			sprite "ship/jje/jje"
		object "Ayym "
			distance 18525
			offset 180.74
			sprite "ship/ayym/ayym"
		object "Maeri'het "
			distance 18525
			offset 182.22
			sprite "ship/maeri'het"
		object "Telis'het "
			distance 18525
			offset 183.7
			sprite "ship/telis'het"
		object "Vareti'het "
			distance 18525
			offset 185.19
			sprite "ship/vareti'het"
		object "Selii'mar "
			distance 18525
			offset 186.67
			sprite "ship/selii'mar"
		object "Faes'mar "
			distance 18525
			offset 188.15
			sprite "ship/faes'mar"
		object "Fetri'sei "
			distance 18525
			offset 189.63
			sprite "ship/fetri'sei"
		object "Earth Shaper "
			distance 18525
			offset 191.11
			sprite "ship/earth shaper"
		object "Flycatcher "
			distance 18525
			offset 192.59
			sprite "ship/flycatcher"
		object "Summer Leaf "
			distance 18525
			offset 194.07
			sprite "ship/summer leaf"
		object "Autumn Leaf "
			distance 18525
			offset 195.56
			sprite "ship/autumn leaf"
		object "Strong Wind "
			distance 18525
			offset 197.04
			sprite "ship/strong wind"
		object "Tempest "
			distance 18525
			offset 198.52
			sprite "ship/tempest"
		object "Derecho "
			distance 18525
			offset 200
			sprite "ship/derecho"
		object "Hurricane "
			distance 18525
			offset 201.48
			sprite "ship/hurricane"
		object "Cool Breeze "
			distance 18525
			offset 202.96
			sprite "ship/cool breeze"
		object "Winter Gale "
			distance 18525
			offset 204.44
			sprite "ship/winter gale"
		object "Deep River "
			distance 18525
			offset 205.93
			sprite "ship/deep river"
		object "Deep River Transport "
			distance 18525
			offset 207.41
			sprite "ship/deep river"
		object "Riptide "
			distance 18525
			offset 208.89
			sprite "ship/riptide"
		object "Geodesic Geocoris "
			distance 18525
			offset 210.37
			sprite "ship/geodesic geocoris"
		object "Aphid "
			distance 18525
			offset 211.85
			sprite "ship/hai aphid"
		object "Centipede "
			distance 18525
			offset 213.33
			sprite "ship/hai centipede"
		object "Cicada "
			distance 18525
			offset 214.81
			sprite "ship/hai cicada"
		object "Flea "
			distance 18525
			offset 216.3
			sprite "ship/hai flea"
		object "Geocoris "
			distance 18525
			offset 217.78
			sprite "ship/hai geocoris"
		object "Grasshopper "
			distance 18525
			offset 219.26
			sprite "ship/hai grasshopper"
		object "Lightning Bug "
			distance 18525
			offset 220.74
			sprite "ship/hai lightning bug"
		object "Ladybug "
			distance 18525
			offset 222.22
			sprite "ship/hai ladybug"
		object "Pond Strider "
			distance 18525
			offset 223.7
			sprite "ship/hai pond strider"
		object "Sea Scorpion "
			distance 18525
			offset 225.19
			sprite "ship/hai sea scorpion"
		object "Scarab "
			distance 18525
			offset 226.67
			sprite "ship/hai scarab"
		object "Shield Beetle "
			distance 18525
			offset 228.15
			sprite "ship/hai shield beetle"
		object "Solifuge "
			distance 18525
			offset 229.63
			sprite "ship/hai solifuge"
		object "Violin Spider "
			distance 18525
			offset 231.11
			sprite "ship/hai violin spider"
		object "Water Bug "
			distance 18525
			offset 232.59
			sprite "ship/hai water bug"
		object "Subsidurial "
			distance 18525
			offset 234.07
			sprite "ship/subsidurial"
		object "Void Sprite "
			distance 18525
			offset 235.56
			sprite "ship/void sprite/void sprite adult"
		object "Ember Waste Node "
			distance 18525
			offset 237.04
			sprite "ship/ember waste node/ember waste node"
		object "Embershade "
			distance 18525
			offset 238.52
			sprite "ship/embershade/embershade"
		object "Embersylph "
			distance 18525
			offset 240
			sprite "ship/embersylph/embersylph"
		object "Archon "
			distance 18525
			offset 241.48
			sprite "ship/archon"
		object "Marauder Arrow "
			distance 18525
			offset 242.96
			sprite "ship/marrows"
		object "Marauder Bounder "
			distance 18525
			offset 244.44
			sprite "ship/mbounders"
		object "Marauder Falcon "
			distance 18525
			offset 245.93
			sprite "ship/mfalcons"
		object "Marauder Firebird "
			distance 18525
			offset 247.41
			sprite "ship/mfirebirds"
		object "Marauder Leviathan "
			distance 18525
			offset 248.89
			sprite "ship/mleviathans"
		object "Marauder Manta "
			distance 18525
			offset 250.37
			sprite "ship/mmantas"
		object "Marauder Quicksilver "
			distance 18525
			offset 251.85
			sprite "ship/mquicksilvers"
		object "Marauder Raven "
			distance 18525
			offset 253.33
			sprite "ship/mravens"
		object "Marauder Splinter "
			distance 18525
			offset 254.81
			sprite "ship/msplinters"
		object "Hallucination "
			distance 18525
			offset 256.3
			sprite "ship/hallucination"
		object "Asteroid "
			distance 18525
			offset 257.78
			sprite "asteroid/medium rock/spin"
		object "Science Drone "
			distance 18525
			offset 259.26
			sprite "ship/science drone"
		object "Unknown Ship Type "
			distance 18525
			offset 260.74
			sprite "ship/kestrel"
		object "Kestrel "
			distance 18525
			offset 262.22
			sprite "ship/kestrel"
		object "Aerie "
			distance 18525
			offset 263.7
			sprite "ship/aerie"
		object "Argosy "
			distance 18525
			offset 265.19
			sprite "ship/argosy"
		object "Arrow "
			distance 18525
			offset 266.67
			sprite "ship/arrow"
		object "Auxiliary "
			distance 18525
			offset 268.15
			sprite "ship/auxiliaryh"
		object "Bactrian "
			distance 18525
			offset 269.63
			sprite "ship/bactrian"
		object "Barb "
			distance 18525
			offset 271.11
			sprite "ship/barb"
		object "Bastion "
			distance 18525
			offset 272.59
			sprite "ship/bastion"
		object "Behemoth "
			distance 18525
			offset 274.07
			sprite "ship/behemoth"
		object "Berserker "
			distance 18525
			offset 275.56
			sprite "ship/berserker"
		object "Blackbird "
			distance 18525
			offset 277.04
			sprite "ship/blackbird"
		object "Bounder "
			distance 18525
			offset 278.52
			sprite "ship/bounder"
		object "Boxwing "
			distance 18525
			offset 280
			sprite "ship/boxwing"
		object "Bulk Freighter "
			distance 18525
			offset 281.48
			sprite "ship/bulk freighter"
		object "Bulwark "
			distance 18525
			offset 282.96
			sprite "ship/pirate bulwark"
		object "Carrier "
			distance 18525
			offset 284.44
			sprite "ship/carrier"
		object "Class C Freighter "
			distance 18525
			offset 285.93
			sprite "ship/bulk freighter"
		object "Clipper "
			distance 18525
			offset 287.41
			sprite "ship/clipper"
		object "Combat Drone "
			distance 18525
			offset 288.89
			sprite "ship/combat drone"
		object "Container Transport "
			distance 18525
			offset 290.37
			sprite "ship/container transport"
		object "Corvette "
			distance 18525
			offset 291.85
			sprite "ship/corvette"
		object "Cruiser "
			distance 18525
			offset 293.33
			sprite "ship/cruiser"
		object "Cutthroat "
			distance 18525
			offset 294.81
			sprite "ship/pirate cutthroat"
		object "Dagger "
			distance 18525
			offset 296.3
			sprite "ship/dagger"
		object "Dreadnought "
			distance 18525
			offset 297.78
			sprite "ship/dreadnought"
		object "Dropship "
			distance 18525
			offset 299.26
			sprite "ship/dropship"
		object "Falcon "
			distance 18525
			offset 300.74
			sprite "ship/falcon"
		object "Finch "
			distance 18525
			offset 302.22
			sprite "ship/finch"
		object "Firebird "
			distance 18525
			offset 303.7
			sprite "ship/firebird"
		object "Flivver "
			distance 18525
			offset 305.19
			sprite "ship/flivver"
		object "Freighter "
			distance 18525
			offset 306.67
			sprite "ship/freighter"
		object "Frigate "
			distance 18525
			offset 308.15
			sprite "ship/frigate"
		object "Fury "
			distance 18525
			offset 309.63
			sprite "ship/fury"
		object "Gunboat "
			distance 18525
			offset 311.11
			sprite "ship/gunboat"
		object "Hauler "
			distance 18525
			offset 312.59
			sprite "ship/hauler i"
		object "Hauler II "
			distance 18525
			offset 314.07
			sprite "ship/hauler ii"
		object "Hauler III "
			distance 18525
			offset 315.56
			sprite "ship/hauler iii"
		object "Hawk "
			distance 18525
			offset 317.04
			sprite "ship/hawk"
		object "Headhunter "
			distance 18525
			offset 318.52
			sprite "ship/headhunter"
		object "Heavy Shuttle "
			distance 18525
			offset 320
			sprite "ship/heavy shuttle"
		object "Lance "
			distance 18525
			offset 321.48
			sprite "ship/lance"
		object "Leviathan "
			distance 18525
			offset 322.96
			sprite "ship/leviathan"
		object "Mammoth "
			distance 18525
			offset 324.44
			sprite "ship/pirate mammoth"
		object "Manta "
			distance 18525
			offset 325.93
			sprite "ship/manta"
		object "Modified Argosy "
			distance 18525
			offset 327.41
			sprite "ship/modified argosy"
		object "Mule "
			distance 18525
			offset 328.89
			sprite "ship/mule"
		object "Nest "
			distance 18525
			offset 330.37
			sprite "ship/nest"
		object "Nighthawk "
			distance 18525
			offset 331.85
			sprite "ship/pirate nighthawk"
		object "Osprey "
			distance 18525
			offset 333.33
			sprite "ship/osprey"
		object "Protector "
			distance 18525
			offset 334.81
			sprite "ship/protector"
		object "Quicksilver "
			distance 18525
			offset 336.3
			sprite "ship/quicksilver"
		object "Rainmaker "
			distance 18525
			offset 337.78
			sprite "ship/rainmaker"
		object "Raven "
			distance 18525
			offset 339.26
			sprite "ship/raven"
		object "Roost "
			distance 18525
			offset 340.74
			sprite "ship/roost"
		object "Scout "
			distance 18525
			offset 342.22
			sprite "ship/scout"
		object "Scrapper "
			distance 18525
			offset 343.7
			sprite "ship/pirate scrapper"
		object "Shuttle "
			distance 18525
			offset 345.19
			sprite "ship/shuttle"
		object "Skein "
			distance 18525
			offset 346.67
			sprite "ship/skein"
		object "Sparrow "
			distance 18525
			offset 348.15
			sprite "ship/sparrow"
		object "Splinter "
			distance 18525
			offset 349.63
			sprite "ship/splinter"
		object "Star Barge "
			distance 18525
			offset 351.11
			sprite "ship/star barge"
		object "Star Queen "
			distance 18525
			offset 352.59
			sprite "ship/star queen"
		object "Surveillance Drone "
			distance 18525
			offset 354.07
			sprite "ship/surveillance drone"
		object "Valkyrie "
			distance 18525
			offset 355.56
			sprite "ship/pirate valkyrie"
		object "Vanguard "
			distance 18525
			offset 357.04
			sprite "ship/vanguard"
		object "Wasp "
			distance 18525
			offset 358.52
			sprite "ship/wasp"
planet "Shale "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Shale "
		threshold 0
fleet "Shale "
	government "Arena"
	personality "heroic"
	variant
		"Shale"
planet "Dolomite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Dolomite "
		threshold 0
fleet "Dolomite "
	government "Arena"
	personality "heroic"
	variant
		"Dolomite"
planet "Conglomerate "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Conglomerate "
		threshold 0
fleet "Conglomerate "
	government "Arena"
	personality "heroic"
	variant
		"Conglomerate"
planet "Gypsum "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Gypsum "
		threshold 0
fleet "Gypsum "
	government "Arena"
	personality "heroic"
	variant
		"Gypsum"
planet "Dunite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Dunite "
		threshold 0
fleet "Dunite "
	government "Arena"
	personality "heroic"
	variant
		"Dunite"
planet "Augen "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Augen "
		threshold 0
fleet "Augen "
	government "Arena"
	personality "heroic"
	variant
		"Augen"
planet "Slate "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Slate "
		threshold 0
fleet "Slate "
	government "Arena"
	personality "heroic"
	variant
		"Slate"
planet "Schist "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Schist "
		threshold 0
fleet "Schist "
	government "Arena"
	personality "heroic"
	variant
		"Schist"
planet "Eclogite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Eclogite "
		threshold 0
fleet "Eclogite "
	government "Arena"
	personality "heroic"
	variant
		"Eclogite"
planet "Diorite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Diorite "
		threshold 0
fleet "Diorite "
	government "Arena"
	personality "heroic"
	variant
		"Diorite"
planet "Hornfel "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hornfel "
		threshold 0
fleet "Hornfel "
	government "Arena"
	personality "heroic"
	variant
		"Hornfel"
planet "Gneiss "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Gneiss "
		threshold 0
fleet "Gneiss "
	government "Arena"
	personality "heroic"
	variant
		"Gneiss"
planet "Granulite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Granulite "
		threshold 0
fleet "Granulite "
	government "Arena"
	personality "heroic"
	variant
		"Granulite"
planet "Halite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Halite "
		threshold 0
fleet "Halite "
	government "Arena"
	personality "heroic"
	variant
		"Halite"
planet "Mica "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Mica "
		threshold 0
fleet "Mica "
	government "Arena"
	personality "heroic"
	variant
		"Mica"
planet "Coesite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Coesite "
		threshold 0
fleet "Coesite "
	government "Arena"
	personality "heroic"
	variant
		"Coesite"
planet "Tridymite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tridymite "
		threshold 0
fleet "Tridymite "
	government "Arena"
	personality "heroic"
	variant
		"Tridymite"
planet "Felsic "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Felsic "
		threshold 0
fleet "Felsic "
	government "Arena"
	personality "heroic"
	variant
		"Felsic"
planet "Feldspar "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Feldspar "
		threshold 0
fleet "Feldspar "
	government "Arena"
	personality "heroic"
	variant
		"Feldspar"
planet "Epidote "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Epidote "
		threshold 0
fleet "Epidote "
	government "Arena"
	personality "heroic"
	variant
		"Epidote"
planet "Albatross "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Albatross "
		threshold 0
fleet "Albatross "
	government "Arena"
	personality "heroic"
	variant
		"Albatross"
planet "Modified Dromedary "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Modified Dromedary "
		threshold 0
fleet "Modified Dromedary "
	government "Arena"
	personality "heroic"
	variant
		"Modified Dromedary"
planet "Gull "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Gull "
		threshold 0
fleet "Gull "
	government "Arena"
	personality "heroic"
	variant
		"Gull"
planet "Heron "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heron "
		threshold 0
fleet "Heron "
	government "Arena"
	personality "heroic"
	variant
		"Heron"
planet "Ibis "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ibis "
		threshold 0
fleet "Ibis "
	government "Arena"
	personality "heroic"
	variant
		"Ibis"
planet "Merganser "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Merganser "
		threshold 0
fleet "Merganser "
	government "Arena"
	personality "heroic"
	variant
		"Merganser"
planet "Pelican "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pelican "
		threshold 0
fleet "Pelican "
	government "Arena"
	personality "heroic"
	variant
		"Pelican"
planet "Penguin "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Penguin "
		threshold 0
fleet "Penguin "
	government "Arena"
	personality "heroic"
	variant
		"Penguin"
planet "Peregrine "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Peregrine "
		threshold 0
fleet "Peregrine "
	government "Arena"
	personality "heroic"
	variant
		"Peregrine"
planet "Petrel "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Petrel "
		threshold 0
fleet "Petrel "
	government "Arena"
	personality "heroic"
	variant
		"Petrel"
planet "Puffin "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Puffin "
		threshold 0
fleet "Puffin "
	government "Arena"
	personality "heroic"
	variant
		"Puffin"
planet "Smew "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Smew "
		threshold 0
fleet "Smew "
	government "Arena"
	personality "heroic"
	variant
		"Smew"
planet "Starling "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Starling "
		threshold 0
fleet "Starling "
	government "Arena"
	personality "heroic"
	variant
		"Starling"
planet "Tern "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tern "
		threshold 0
fleet "Tern "
	government "Arena"
	personality "heroic"
	variant
		"Tern"
planet "Marauder Fury "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Fury "
		threshold 0
fleet "Marauder Fury "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Fury"
planet "Lampyrid-Class Transport "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Lampyrid-Class Transport "
		threshold 0
fleet "Lampyrid-Class Transport "
	government "Arena"
	personality "heroic"
	variant
		"Lampyrid-Class Transport"
planet "Modified Osprey "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Modified Osprey "
		threshold 0
fleet "Modified Osprey "
	government "Arena"
	personality "heroic"
	variant
		"Modified Osprey"
planet "Ursa Polaris "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ursa Polaris "
		threshold 0
fleet "Ursa Polaris "
	government "Arena"
	personality "heroic"
	variant
		"Ursa Polaris"
planet "Shooting Star "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Shooting Star "
		threshold 0
fleet "Shooting Star "
	government "Arena"
	personality "heroic"
	variant
		"Shooting Star"
planet "Marauder Bactrian "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Bactrian "
		threshold 0
fleet "Marauder Bactrian "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Bactrian"
planet "Modified Boxwing "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Modified Boxwing "
		threshold 0
fleet "Modified Boxwing "
	government "Arena"
	personality "heroic"
	variant
		"Modified Boxwing"
planet "Modified Battleship "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Modified Battleship "
		threshold 0
fleet "Modified Battleship "
	government "Arena"
	personality "heroic"
	variant
		"Modified Battleship"
planet "Modified Ladybug "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Modified Ladybug "
		threshold 0
fleet "Modified Ladybug "
	government "Arena"
	personality "heroic"
	variant
		"Modified Ladybug"
planet "Quarg Skylark "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Quarg Skylark "
		threshold 0
fleet "Quarg Skylark "
	government "Arena"
	personality "heroic"
	variant
		"Quarg Skylark"
